last_update,site_key,home_team,away_team,h2h,league,home_team_odds,away_team_odds,draw_odds

1616009443,betway,Fulham,Leeds United,"{2.5,2.8,3.4}",soccer_epl,2.5,2.8,3.4

1616009393,paddypower,Fulham,Leeds United,"{2.45,2.75,3.3}",soccer_epl,2.45,2.75,3.3

1616009540,betclic,Fulham,Leeds United,"{2.52,2.85,3.42}",soccer_epl,2.52,2.85,3.42

1616009595,betfair,Fulham,Leeds United,"{2.47,2.793,3.3725}",soccer_epl,2.47,2.793,3.3725

1616009372,williamhill,Fulham,Leeds United,"{2.45,2.88,3.4}",soccer_epl,2.45,2.88,3.4

1616009484,skybet,Fulham,Leeds United,"{2.5,2.8,3.3}",soccer_epl,2.5,2.8,3.3

1616009633,marathonbet,Fulham,Leeds United,"{2.5,2.93,3.52}",soccer_epl,2.5,2.93,3.52

1616009538,ladbrokes,Fulham,Leeds United,"{2.5,2.8,3.25}",soccer_epl,2.5,2.8,3.25

1616009486,sport888,Fulham,Leeds United,"{2.48,2.88,3.4}",soccer_epl,2.48,2.88,3.4

1616009314,unibet,Fulham,Leeds United,"{2.5,2.9,3.45}",soccer_epl,2.5,2.9,3.45

1616009306,betvictor,Fulham,Leeds United,"{2.5,2.88,3.3}",soccer_epl,2.5,2.88,3.3

1616009393,matchbook,Fulham,Leeds United,"{2.61,2.89,3.52}",soccer_epl,2.61,2.89,3.52

1616009540,betclic,Brighton and Hove Albion,Newcastle United,"{1.67,5.95,3.65}",soccer_epl,1.67,5.95,3.65

1616009372,williamhill,Brighton and Hove Albion,Newcastle United,"{1.65,6.5,3.4}",soccer_epl,1.65,6.5,3.4

1616009443,betway,Brighton and Hove Albion,Newcastle United,"{1.65,6.0,3.6}",soccer_epl,1.65,6,3.6

1616009393,paddypower,Brighton and Hove Albion,Newcastle United,"{1.62,6.0,3.5}",soccer_epl,1.62,6,3.5

1616009595,betfair,Brighton and Hove Albion,Newcastle United,"{1.634,6.46,3.4675}",soccer_epl,1.634,6.46,3.4675

1616009484,skybet,Brighton and Hove Albion,Newcastle United,"{1.62,6.0,3.6}",soccer_epl,1.62,6,3.6

1616009633,marathonbet,Brighton and Hove Albion,Newcastle United,"{1.66,6.9,3.6}",soccer_epl,1.66,6.9,3.6

1616009538,ladbrokes,Brighton and Hove Albion,Newcastle United,"{1.67,5.75,3.5}",soccer_epl,1.67,5.75,3.5

1616009486,sport888,Brighton and Hove Albion,Newcastle United,"{1.65,6.5,3.5}",soccer_epl,1.65,6.5,3.5

1616009314,unibet,Brighton and Hove Albion,Newcastle United,"{1.66,6.75,3.55}",soccer_epl,1.66,6.75,3.55

1616009306,betvictor,Brighton and Hove Albion,Newcastle United,"{1.65,6.0,3.6}",soccer_epl,1.65,6,3.6

1616009393,matchbook,Brighton and Hove Albion,Newcastle United,"{1.69,7.0,3.58}",soccer_epl,1.69,7,3.58

1616009393,paddypower,Arsenal,West Ham United,"{2.4,2.8,3.4}",soccer_epl,2.4,2.8,3.4

1616009372,williamhill,Arsenal,West Ham United,"{2.45,2.8,3.5}",soccer_epl,2.45,2.8,3.5

1616009443,betway,Arsenal,West Ham United,"{2.4,2.88,3.5}",soccer_epl,2.4,2.88,3.5

1616009540,betclic,Arsenal,West Ham United,"{2.48,2.86,3.48}",soccer_epl,2.48,2.86,3.48

1616009595,betfair,Arsenal,West Ham United,"{2.413,2.831,3.3725}",soccer_epl,2.413,2.831,3.3725

1616009484,skybet,Arsenal,West Ham United,"{2.4,2.88,3.4}",soccer_epl,2.4,2.88,3.4

1616009633,marathonbet,Arsenal,West Ham United,"{2.52,3.02,3.65}",soccer_epl,2.52,3.02,3.65

1616009538,ladbrokes,Arsenal,West Ham United,"{2.45,2.9,3.3}",soccer_epl,2.45,2.9,3.3

1616009486,sport888,Arsenal,West Ham United,"{2.43,2.85,3.55}",soccer_epl,2.43,2.85,3.55

1616009314,unibet,Arsenal,West Ham United,"{2.43,2.88,3.6}",soccer_epl,2.43,2.88,3.6

1616009306,betvictor,Arsenal,West Ham United,"{2.5,2.88,3.3}",soccer_epl,2.5,2.88,3.3

1616009393,matchbook,Arsenal,West Ham United,"{2.52,2.95,3.6}",soccer_epl,2.52,2.95,3.6

1616009393,paddypower,Aston Villa,Tottenham Hotspur,"{3.0,2.3,3.4}",soccer_epl,3,2.3,3.4

1616009372,williamhill,Aston Villa,Tottenham Hotspur,"{3.0,2.38,3.4}",soccer_epl,3,2.38,3.4

1616009443,betway,Aston Villa,Tottenham Hotspur,"{3.1,2.3,3.4}",soccer_epl,3.1,2.3,3.4

1616009540,betclic,Aston Villa,Tottenham Hotspur,"{3.17,2.31,3.45}",soccer_epl,3.17,2.31,3.45

1616009595,betfair,Aston Villa,Tottenham Hotspur,"{3.04,2.242,3.42}",soccer_epl,3.04,2.242,3.42

1616009484,skybet,Aston Villa,Tottenham Hotspur,"{3.1,2.25,3.4}",soccer_epl,3.1,2.25,3.4

1616009633,marathonbet,Aston Villa,Tottenham Hotspur,"{3.24,2.44,3.54}",soccer_epl,3.24,2.44,3.54

1616009538,ladbrokes,Aston Villa,Tottenham Hotspur,"{3.05,2.3,3.35}",soccer_epl,3.05,2.3,3.35

1616009486,sport888,Aston Villa,Tottenham Hotspur,"{3.2,2.3,3.4}",soccer_epl,3.2,2.3,3.4

1616009314,unibet,Aston Villa,Tottenham Hotspur,"{3.2,2.3,3.45}",soccer_epl,3.2,2.3,3.45

1616009306,betvictor,Aston Villa,Tottenham Hotspur,"{3.12,2.3,3.4}",soccer_epl,3.12,2.3,3.4

1616009393,matchbook,Aston Villa,Tottenham Hotspur,"{3.22,2.36,3.52}",soccer_epl,3.22,2.36,3.52

1616009540,betclic,Chelsea,West Bromwich Albion,"{1.26,12.5,5.9}",soccer_epl,1.26,12.5,5.9

1616009393,paddypower,Chelsea,West Bromwich Albion,"{1.2,13.0,6.0}",soccer_epl,1.2,13,6

1616009372,williamhill,Chelsea,West Bromwich Albion,"{1.25,13.0,5.8}",soccer_epl,1.25,13,5.8

1616009443,betway,Chelsea,West Bromwich Albion,"{1.25,13.0,5.75}",soccer_epl,1.25,13,5.75

1616009633,marathonbet,Chelsea,West Bromwich Albion,"{1.27,13.5,6.1}",soccer_epl,1.27,13.5,6.1

1616009484,skybet,Chelsea,West Bromwich Albion,"{1.22,13.0,6.0}",soccer_epl,1.22,13,6

1616009314,unibet,Chelsea,West Bromwich Albion,"{1.25,12.0,6.25}",soccer_epl,1.25,12,6.25

1616009538,ladbrokes,Chelsea,West Bromwich Albion,"{1.22,14.0,5.75}",soccer_epl,1.22,14,5.75

1616009486,sport888,Chelsea,West Bromwich Albion,"{1.25,12.0,6.25}",soccer_epl,1.25,12,6.25

1616009595,betfair,Chelsea,West Bromwich Albion,"{1.1875,12.35,5.89}",soccer_epl,1.1875,12.35,5.89

1616009540,betclic,Leeds United,Sheffield United,"{1.58,5.7,4.3}",soccer_epl,1.58,5.7,4.3

1616009393,paddypower,Leeds United,Sheffield United,"{1.57,5.0,4.2}",soccer_epl,1.57,5,4.2

1616009372,williamhill,Leeds United,Sheffield United,"{1.6,5.5,4.2}",soccer_epl,1.6,5.5,4.2

1616009443,betway,Leeds United,Sheffield United,"{1.57,5.75,4.2}",soccer_epl,1.57,5.75,4.2

1616009633,marathonbet,Leeds United,Sheffield United,"{1.63,5.7,4.25}",soccer_epl,1.63,5.7,4.25

1616009538,ladbrokes,Leeds United,Sheffield United,"{1.6,5.75,3.9}",soccer_epl,1.6,5.75,3.9

1616009314,unibet,Leeds United,Sheffield United,"{1.6,5.35,4.2}",soccer_epl,1.6,5.35,4.2

1616009486,sport888,Leeds United,Sheffield United,"{1.6,5.35,4.2}",soccer_epl,1.6,5.35,4.2

1616009484,skybet,Leeds United,Sheffield United,"{1.57,5.75,3.9}",soccer_epl,1.57,5.75,3.9

1616009595,betfair,Leeds United,Sheffield United,"{1.406,5.225,3.99}",soccer_epl,1.406,5.225,3.99

1616009484,skybet,Crystal Palace,Everton,"{4.6,1.8,3.5}",soccer_epl,4.6,1.8,3.5

1616009633,marathonbet,Crystal Palace,Everton,"{4.45,1.92,3.58}",soccer_epl,4.45,1.92,3.58

1616009314,unibet,Crystal Palace,Everton,"{4.1,1.9,3.6}",soccer_epl,4.1,1.9,3.6

1616009486,sport888,Crystal Palace,Everton,"{4.1,1.9,3.6}",soccer_epl,4.1,1.9,3.6

1616009484,skybet,Newcastle United,Tottenham Hotspur,"{5.25,1.67,3.8}",soccer_epl,5.25,1.67,3.8

1616009633,marathonbet,Newcastle United,Tottenham Hotspur,"{5.0,1.74,4.0}",soccer_epl,5,1.74,4

1616009314,unibet,Newcastle United,Tottenham Hotspur,"{4.85,1.7,3.9}",soccer_epl,4.85,1.7,3.9

1616009486,sport888,Newcastle United,Tottenham Hotspur,"{4.85,1.7,3.9}",soccer_epl,4.85,1.7,3.9

1616009633,marathonbet,Burnley,Southampton,"{3.82,2.1,3.48}",soccer_epl,3.82,2.1,3.48

1616009314,unibet,Burnley,Southampton,"{3.65,2.05,3.5}",soccer_epl,3.65,2.05,3.5

1616009486,sport888,Burnley,Southampton,"{3.65,2.05,3.5}",soccer_epl,3.65,2.05,3.5

1616009484,skybet,Burnley,Southampton,"{3.6,2.1,3.3}",soccer_epl,3.6,2.1,3.3

1616009484,skybet,Arsenal,Liverpool,"{3.3,2.1,3.5}",soccer_epl,3.3,2.1,3.5

1616009633,marathonbet,Arsenal,Liverpool,"{3.26,2.26,3.62}",soccer_epl,3.26,2.26,3.62

1616009314,unibet,Arsenal,Liverpool,"{3.25,2.15,3.6}",soccer_epl,3.25,2.15,3.6

1616009486,sport888,Arsenal,Liverpool,"{3.25,2.15,3.6}",soccer_epl,3.25,2.15,3.6

1616009633,marathonbet,West Ham United,Wolverhampton Wanderers,"{2.62,3.02,3.2}",soccer_epl,2.62,3.02,3.2

1616009314,unibet,West Ham United,Wolverhampton Wanderers,"{2.55,3.0,3.1}",soccer_epl,2.55,3,3.1

1616009486,sport888,West Ham United,Wolverhampton Wanderers,"{2.55,3.0,3.1}",soccer_epl,2.55,3,3.1

1616009484,skybet,West Ham United,Wolverhampton Wanderers,"{2.8,2.62,3.1}",soccer_epl,2.8,2.62,3.1

1616009633,marathonbet,Brighton and Hove Albion,Manchester United,"{5.95,1.61,4.25}",soccer_epl,5.95,1.61,4.25

1616009484,skybet,Brighton and Hove Albion,Manchester United,"{6.0,1.53,4.2}",soccer_epl,6,1.53,4.2

1616009314,unibet,Brighton and Hove Albion,Manchester United,"{6.5,1.5,4.35}",soccer_epl,6.5,1.5,4.35

1616009486,sport888,Brighton and Hove Albion,Manchester United,"{6.5,1.5,4.35}",soccer_epl,6.5,1.5,4.35

1616009540,betclic,Leicester City,Manchester City,"{5.95,1.56,4.3}",soccer_epl,5.95,1.56,4.3

1616009538,ladbrokes,Leicester City,Manchester City,"{5.75,1.5,4.0}",soccer_epl,5.75,1.5,4

1616009393,paddypower,Leicester City,Manchester City,"{6.0,1.5,4.2}",soccer_epl,6,1.5,4.2

1616009484,skybet,Leicester City,Manchester City,"{6.25,1.5,4.33}",soccer_epl,6.25,1.5,4.33

1616009372,williamhill,Leicester City,Manchester City,"{6.5,1.55,4.0}",soccer_epl,6.5,1.55,4

1616009443,betway,Leicester City,Manchester City,"{6.0,1.57,4.0}",soccer_epl,6,1.57,4

1616009633,marathonbet,Leicester City,Manchester City,"{6.45,1.59,4.15}",soccer_epl,6.45,1.59,4.15

1616009314,unibet,Leicester City,Manchester City,"{5.8,1.58,4.1}",soccer_epl,5.8,1.58,4.1

1616009486,sport888,Leicester City,Manchester City,"{5.8,1.58,4.1}",soccer_epl,5.8,1.58,4.1

1616009595,betfair,Leicester City,Manchester City,"{6.08,1.4725,3.99}",soccer_epl,6.08,1.4725,3.99

1616009540,betclic,Aston Villa,Fulham,"{2.32,3.22,3.37}",soccer_epl,2.32,3.22,3.37

1616009538,ladbrokes,Aston Villa,Fulham,"{2.3,3.2,3.2}",soccer_epl,2.3,3.2,3.2

1616009393,paddypower,Aston Villa,Fulham,"{2.2,3.2,3.3}",soccer_epl,2.2,3.2,3.3

1616009484,skybet,Aston Villa,Fulham,"{2.25,3.25,3.3}",soccer_epl,2.25,3.25,3.3

1616009372,williamhill,Aston Villa,Fulham,"{2.25,3.3,3.3}",soccer_epl,2.25,3.3,3.3

1616009443,betway,Aston Villa,Fulham,"{2.3,3.2,3.3}",soccer_epl,2.3,3.2,3.3

1616009633,marathonbet,Aston Villa,Fulham,"{2.35,3.34,3.34}",soccer_epl,2.35,3.34,3.34

1616009314,unibet,Aston Villa,Fulham,"{2.25,3.2,3.4}",soccer_epl,2.25,3.2,3.4

1616009486,sport888,Aston Villa,Fulham,"{2.25,3.2,3.4}",soccer_epl,2.25,3.2,3.4

1616009595,betfair,Aston Villa,Fulham,"{2.166,3.0875,3.04}",soccer_epl,2.166,3.0875,3.04

1616009393,paddypower,Burnley,Southampton,"{3.6,2.05,3.3}",soccer_epl,3.6,2.05,3.3

1616009538,ladbrokes,Burnley,Southampton,"{3.75,2.1,3.2}",soccer_epl,3.75,2.1,3.2

1616009595,betfair,Burnley,Southampton,"{3.325,1.938,3.23}",soccer_epl,3.325,1.938,3.23

1616009443,betway,Burnley,Southampton,"{3.6,2.05,3.5}",soccer_epl,3.6,2.05,3.5

1616009372,williamhill,Burnley,Southampton,"{3.6,2.15,3.3}",soccer_epl,3.6,2.15,3.3

1616009540,betclic,Burnley,Southampton,"{3.65,2.09,3.48}",soccer_epl,3.65,2.09,3.48

1616009393,paddypower,Newcastle United,Tottenham Hotspur,"{4.75,1.67,3.8}",soccer_epl,4.75,1.67,3.8

1616009538,ladbrokes,Newcastle United,Tottenham Hotspur,"{5.2,1.68,3.7}",soccer_epl,5.2,1.68,3.7

1616009595,betfair,Newcastle United,Tottenham Hotspur,"{4.75,1.5865,3.3725}",soccer_epl,4.75,1.5865,3.3725

1616009443,betway,Newcastle United,Tottenham Hotspur,"{5.0,1.7,3.8}",soccer_epl,5,1.7,3.8

1616009372,williamhill,Newcastle United,Tottenham Hotspur,"{5.0,1.7,3.8}",soccer_epl,5,1.7,3.8

1616009540,betclic,Newcastle United,Tottenham Hotspur,"{5.15,1.69,3.92}",soccer_epl,5.15,1.69,3.92

1616009393,paddypower,Arsenal,Liverpool,"{3.25,2.1,3.5}",soccer_epl,3.25,2.1,3.5

1616009538,ladbrokes,Arsenal,Liverpool,"{3.1,2.1,3.3}",soccer_epl,3.1,2.1,3.3

1616009595,betfair,Arsenal,Liverpool,"{2.8975,2.09,3.325}",soccer_epl,2.8975,2.09,3.325

1616009443,betway,Arsenal,Liverpool,"{3.25,2.15,3.6}",soccer_epl,3.25,2.15,3.6

1616009540,betclic,Arsenal,Liverpool,"{3.2,2.22,3.63}",soccer_epl,3.2,2.22,3.63

1616009372,williamhill,Arsenal,Liverpool,"{3.25,2.2,3.5}",soccer_epl,3.25,2.2,3.5

1616009393,paddypower,Brighton and Hove Albion,Manchester United,"{6.0,1.5,4.2}",soccer_epl,6,1.5,4.2

1616009538,ladbrokes,Brighton and Hove Albion,Manchester United,"{6.2,1.55,3.9}",soccer_epl,6.2,1.55,3.9

1616009595,betfair,Brighton and Hove Albion,Manchester United,"{5.605,1.482,3.6575}",soccer_epl,5.605,1.482,3.6575

1616009443,betway,Brighton and Hove Albion,Manchester United,"{5.75,1.55,4.33}",soccer_epl,5.75,1.55,4.33

1616009372,williamhill,Brighton and Hove Albion,Manchester United,"{6.0,1.55,4.2}",soccer_epl,6,1.55,4.2

1616009540,betclic,Brighton and Hove Albion,Manchester United,"{5.8,1.58,4.25}",soccer_epl,5.8,1.58,4.25

1616009393,paddypower,Crystal Palace,Everton,"{4.5,1.8,3.4}",soccer_epl,4.5,1.8,3.4

1616009538,ladbrokes,Crystal Palace,Everton,"{5.0,1.78,3.35}",soccer_epl,5,1.78,3.35

1616009595,betfair,Crystal Palace,Everton,"{4.465,1.767,3.1825}",soccer_epl,4.465,1.767,3.1825

1616009443,betway,Crystal Palace,Everton,"{4.5,1.83,3.5}",soccer_epl,4.5,1.83,3.5

1616009372,williamhill,Crystal Palace,Everton,"{4.75,1.83,3.4}",soccer_epl,4.75,1.83,3.4

1616009540,betclic,Crystal Palace,Everton,"{4.9,1.81,3.53}",soccer_epl,4.9,1.81,3.53

1616009393,paddypower,West Ham United,Wolverhampton Wanderers,"{2.6,2.8,3.1}",soccer_epl,2.6,2.8,3.1

1616009538,ladbrokes,West Ham United,Wolverhampton Wanderers,"{2.55,2.8,2.9}",soccer_epl,2.55,2.8,2.9

1616009595,betfair,West Ham United,Wolverhampton Wanderers,"{2.413,2.698,3.04}",soccer_epl,2.413,2.698,3.04

1616009443,betway,West Ham United,Wolverhampton Wanderers,"{2.6,2.8,3.2}",soccer_epl,2.6,2.8,3.2

1616009372,williamhill,West Ham United,Wolverhampton Wanderers,"{2.62,2.88,3.1}",soccer_epl,2.62,2.88,3.1

1616009540,betclic,West Ham United,Wolverhampton Wanderers,"{2.63,2.95,3.12}",soccer_epl,2.63,2.95,3.12
